timestamp,x,y,z
1733479058.504922,0.200674,-0.054034,0.720848
1733479058.609107,0.201935,-0.050378,0.716337
1733479058.663486,0.201695,-0.047725,0.718417
1733479058.775381,0.201740,-0.042804,0.714730
1733479058.891993,0.200283,-0.037629,0.717301
1733479058.996823,0.200061,-0.032984,0.715540
1733479059.107934,0.200564,-0.028089,0.716073
1733479059.161842,0.201397,-0.025388,0.715090
1733479059.268088,0.203359,-0.020812,0.715999
1733479059.375616,0.206061,-0.015939,0.715858
1733479059.486017,0.208627,-0.010426,0.716975
1733479059.595627,0.208422,-0.005913,0.720609
1733479059.711769,0.208548,-0.001372,0.719401
1733479059.814131,0.209274,0.003405,0.717897
1733479059.867826,0.208682,0.005781,0.718383
1733479059.983274,0.207870,0.011060,0.719009
1733479060.097101,0.205642,0.015940,0.722687
1733479060.201050,0.203090,0.020961,0.722422
1733479060.306675,0.201620,0.025314,0.720925
1733479060.363068,0.201069,0.027684,0.719296
1733479060.479105,0.201433,0.032291,0.719482
1733479060.587653,0.201610,0.036121,0.720988
1733479060.695031,0.202625,0.039191,0.719622
1733479060.807698,0.202722,0.042340,0.717683
1733479060.907629,0.204195,0.044907,0.716153
1733479060.971195,0.204324,0.045744,0.715823
1733479061.082723,0.203949,0.046948,0.715826
1733479061.189481,0.203922,0.048409,0.714232
1733479061.295689,0.203596,0.049023,0.712831
1733479061.410646,0.202112,0.048151,0.710786
1733479061.459305,0.200746,0.047494,0.711080
1733479061.569785,0.198959,0.044824,0.714275
1733479061.675557,0.201393,0.042363,0.711216
1733479061.788678,0.202307,0.039016,0.708107
1733479061.895159,0.201966,0.035421,0.705097
1733479062.004334,0.201047,0.031141,0.706240
1733479062.063450,0.200956,0.028883,0.706782
1733479062.179958,0.200760,0.024272,0.704808
1733479062.283533,0.201476,0.019307,0.704932
1733479062.391148,0.202814,0.013900,0.699408
1733479062.499117,0.203175,0.007802,0.699337
1733479062.607398,0.203696,0.002296,0.700712
1733479062.673805,0.205179,-0.000731,0.697903
1733479062.771585,0.205934,-0.007441,0.695938
1733479062.887554,0.206387,-0.013322,0.696812
1733479062.944561,0.208496,-0.016889,0.691738
1733479063.107987,0.212710,-0.026668,0.688513
1733479063.155381,0.214615,-0.029700,0.686812
1733479063.272863,0.214178,-0.035935,0.689448
1733479063.375765,0.213941,-0.041890,0.689151
1733479063.485215,0.213127,-0.047991,0.692602
1733479063.598935,0.214143,-0.053927,0.691968
1733479063.708201,0.213999,-0.059792,0.692037
1733479063.769249,0.215189,-0.063593,0.686075
1733479063.880389,0.216190,-0.069126,0.687761
1733479063.979471,0.216774,-0.074412,0.690113
1733479064.100524,0.217003,-0.080407,0.689201
1733479064.204675,0.217187,-0.086765,0.689864
1733479064.311070,0.215887,-0.092007,0.694673
1733479064.372109,0.215096,-0.095207,0.694989
1733479064.485378,0.214940,-0.102522,0.691040
1733479064.591375,0.218084,-0.109209,0.686480
1733479064.694994,0.220011,-0.114903,0.686434
1733479064.809904,0.220162,-0.119728,0.688004
1733479064.864738,0.218543,-0.121313,0.693043
1733479064.968590,0.220373,-0.128299,0.688101
1733479065.079990,0.220573,-0.134399,0.689106
1733479065.206272,0.219250,-0.139074,0.692418
1733479065.269008,0.218826,-0.141969,0.691866
1733479065.406101,0.217911,-0.150712,0.692197
1733479065.513267,0.217694,-0.156493,0.690977
1733479065.577926,0.216606,-0.157965,0.693421
1733479065.677091,0.214920,-0.162740,0.691080
