Command,Speed (mm/s),Initial Position (mm),End Position (mm),Time (s),ArUco ID,Translation X (m),Translation Y (m),Translation Z (m),Rotation X,Rotation Y,Rotation Z,Rotation W
P200,240.0,0.0,200.0,1741944811.5767336,aruco_4,0.20777529629249428,0.0543762345596812,0.0411939826613551,-0.014441484983429745,0.06091282628960247,0.9980296640737477,0.004225046690122346
P200,240.0,0.0,200.0,1741944811.577325,aruco_6,0.39471546697694077,0.05448743194922812,0.044564116012252186,0.054346439156435604,0.06883839084338612,0.9960886377557719,-0.010731097041892023
P200,240.0,0.0,200.0,1741944811.577728,aruco_10,0.7625713499146793,0.05470107491480909,0.026800769115927103,0.03203083727100074,0.01835548477143038,0.9993111561612162,0.0037822003651093853
P200,240.0,0.0,200.0,1741944811.5782113,aruco_0,0.09020655716717452,0.0049617417312698,0.03761383443954114,-0.4157356386671778,0.039799192794540195,0.9082532868821318,-0.025609639236980695
P200,240.0,0.0,200.0,1741944811.5786831,aruco_1,0.014682185803027326,-0.043863947115981836,0.024168818813782855,-0.02555531568476383,-0.09322318790306451,0.9953171621217844,0.0003165205100021986
P200,240.0,0.0,200.0,1741944811.5791004,aruco_5,0.3965622752247428,-0.03904551703543868,0.057180004255486416,0.037656442841000164,0.009035684681576683,0.9991774382620621,-0.01203269700287446
P200,240.0,0.0,200.0,1741944811.5794914,aruco_7,0.5810668900617799,-0.03980345634708159,0.045794892215963334,0.07950331453646733,-0.05423036535733622,0.9953372505960567,0.006483680390838117
P200,240.0,0.0,200.0,1741944811.579889,aruco_9,0.7649033781315144,-0.04040655157896424,0.02907100504407023,0.029786171244672498,-0.005557271461489614,0.9995348427901186,0.0034625151963143474
P200,240.0,0.0,200.0,1741944811.6834755,aruco_2,0.019223920895795388,0.055209508817818144,0.03458831483976299,-0.04294806538540462,0.06514837973239594,0.9968501545088335,-0.014174342718355213
P200,240.0,0.0,200.0,1741944811.68394,aruco_8,0.5833526073155522,0.05898081710840253,0.029052081561931953,0.0521508554825681,0.022846422644280794,0.9983279059393784,0.009985571677119928
P200,240.0,0.0,200.0,1741944811.6842666,aruco_4,0.207483122389575,0.054378846950467456,0.040093704000924935,-0.008945493140576685,0.06125059868134667,0.9980734990217129,0.004197994081429793
